Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.11
0.06,0.99,0.22
0.09,0.99,0.34
0.12,0.98,0.45
0.15,0.97,0.56
0.18,0.95,0.67
0.21,0.94,0.78
0.24,0.92,0.89
0.27,0.9,1.01
0.3,0.87,1.12
0.33,0.84,1.23
0.36,0.81,1.34
0.39,0.78,1.45
0.42,0.75,1.56
0.45,0.71,1.68
0.48,0.67,1.79
0.51,0.63,1.9
0.54,0.58,2.01
0.57,0.54,2.12
0.6,0.49,2.24
0.63,0.43,2.35
0.66,0.38,2.46
0.69,0.32,2.57
0.72,0.26,2.68
0.75,0.2,2.79
0.78,0.13,2.91
0.81,0.06,3.02
0.84,0,3.12
